pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,expected,SZSResult,SZSOutput,SZSStatus
423843270,Problems/REL/REL040+2.p,7415125,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054725,0.110819,119280.0,Inappropriate,Theorem,IAP-Non,Non,IAP
423843271,Problems/REL/REL040-3.p,7415126,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.055135,0.0890389,119280.0,Inappropriate,Unsatisfiable,IAP-Non,Non,IAP
423843272,Problems/REL/REL040+3.p,7415127,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.055822,0.074887,119280.0,Inappropriate,Theorem,IAP-Non,Non,IAP
423843273,Problems/REL/REL040-4.p,7415128,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054331,0.0582631,119280.0,Inappropriate,Unsatisfiable,IAP-Non,Non,IAP
423843274,Problems/REL/REL040+4.p,7415129,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054741,0.105353,119280.0,Inappropriate,Theorem,IAP-Non,Non,IAP
423843275,Problems/REL/REL041-1.p,7415130,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054854,0.0855749,119280.0,Inappropriate,Unsatisfiable,IAP-Non,Non,IAP
423843276,Problems/REL/REL041+1.p,7415131,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054961,0.0956591,119280.0,Inappropriate,Theorem,IAP-Non,Non,IAP
423843277,Problems/REL/REL041-2.p,7415132,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054958,0.0647279,119280.0,Inappropriate,Unsatisfiable,IAP-Non,Non,IAP
423843278,Problems/REL/REL041+2.p,7415133,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.055028,0.058215,119280.0,Inappropriate,Theorem,IAP-Non,Non,IAP
423843279,Problems/REL/REL042-1.p,7415134,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054686,0.0656501,119280.0,Inappropriate,Unsatisfiable,IAP-Non,Non,IAP
423843280,Problems/REL/REL042+1.p,7415135,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054517,0.105859,119280.0,Inappropriate,Theorem,IAP-Non,Non,IAP
423843281,Problems/REL/REL042-2.p,7415136,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054254,0.0659679,119280.0,Inappropriate,Unsatisfiable,IAP-Non,Non,IAP
423843282,Problems/REL/REL042+2.p,7415137,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.055872,0.104833,119280.0,Inappropriate,Theorem,IAP-Non,Non,IAP
423843283,Problems/REL/REL043-1.p,7415138,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.053848,0.0748949,119280.0,Inappropriate,Unsatisfiable,IAP-Non,Non,IAP
423843284,Problems/REL/REL043+1.p,7415139,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054757,0.075899,119280.0,Inappropriate,Theorem,IAP-Non,Non,IAP
423843285,Problems/REL/REL043-2.p,7415140,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054891,0.0583159,119280.0,Inappropriate,Unsatisfiable,IAP-Non,Non,IAP
423843286,Problems/REL/REL043+2.p,7415141,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054311,0.0959531,119280.0,Inappropriate,Theorem,IAP-Non,Non,IAP
423843287,Problems/REL/REL044-1.p,7415142,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.05452,0.105669,119280.0,Inappropriate,Unsatisfiable,IAP-Non,Non,IAP
423843288,Problems/REL/REL044+1.p,7415143,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054655,0.0587329,119280.0,Inappropriate,Theorem,IAP-Non,Non,IAP
