pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,SZSResult,SZSOutput,SZSStatus
470459082,Sledgehammer_lambdas/sn/sn0105.pfho.p,8266192,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.055962,0.055809,113188,Theorem,THM-Prf,Prf,THM
470458842,Sledgehammer_lambdas/sn/sn0106.pfho.p,8266132,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.095976,0.0953389,113188,Theorem,THM-Prf,Prf,THM
470459126,Sledgehammer_lambdas/sn/sn0107.pfho.p,8266203,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.02,298.315,600976,--,UNK-Non,Non,UNK
470459098,Sledgehammer_lambdas/sn/sn0108.pfho.p,8266196,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.059207,0.0588701,113188,Theorem,THM-Prf,Prf,THM
470458766,Sledgehammer_lambdas/sn/sn0109.pfho.p,8266113,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.079756,0.079288,113188,Theorem,THM-Prf,Prf,THM
470458830,Sledgehammer_lambdas/sn/sn0110.pfho.p,8266129,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.134,298.398,593808,--,UNK-Non,Non,UNK
470459146,Sledgehammer_lambdas/sn/sn0111.pfho.p,8266208,vampire_polymorphic_csup,26467,casc_abs,344626,complete,70.6602,70.2588,465228,Theorem,THM-Prf,Prf,THM
470458758,Sledgehammer_lambdas/sn/sn0112.pfho.p,8266111,vampire_polymorphic_csup,26467,casc_abs,344626,complete,1.29988,1.29214,156644,Theorem,THM-Prf,Prf,THM
470459094,Sledgehammer_lambdas/sn/sn0113.pfho.p,8266195,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.090168,0.0895771,113188,Theorem,THM-Prf,Prf,THM
470458954,Sledgehammer_lambdas/sn/sn0114.pfho.p,8266160,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.089594,0.088944,113188,Theorem,THM-Prf,Prf,THM
470459034,Sledgehammer_lambdas/sn/sn0115.pfho.p,8266180,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.05,298.508,621836,--,UNK-Non,Non,UNK
470460070,Sledgehammer_lambdas/fta/fta0001.pfho.p,8265527,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.047553,0.0473391,113188,Theorem,THM-Prf,Prf,THM
470459942,Sledgehammer_lambdas/fta/fta0002.pfho.p,8265495,vampire_polymorphic_csup,26467,casc_abs,344626,complete,76.5567,76.1579,710764,Theorem,THM-Prf,Prf,THM
470460310,Sledgehammer_lambdas/fta/fta0003.pfho.p,8265587,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.04588,0.04584,113188,Theorem,THM-Prf,Prf,THM
470459374,Sledgehammer_lambdas/fta/fta0004.pfho.p,8265353,vampire_polymorphic_csup,26467,casc_abs,344626,complete,32.6901,32.5028,328596,Theorem,THM-Prf,Prf,THM
