pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,SZSResult,SZSOutput,SZSStatus,,5005
469182601,Sledgehammer_lambdas/fta/fta0356.pfho.p,8265577,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.167498,0.403545,119288,Theorem,THM-Prf,Prf,THM,,
469182340,Sledgehammer_lambdas/fta/fta0357.pfho.p,8265490,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.372339,0.532521,119288,Theorem,THM-Prf,Prf,THM,,
469182250,Sledgehammer_lambdas/fta/fta0358.pfho.p,8265460,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.135,298.625,620172,--,UNK-Non,Non,UNK,,
469182427,Sledgehammer_lambdas/fta/fta0359.pfho.p,8265519,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.14,298.565,631552,--,UNK-Non,Non,UNK,,
469182316,Sledgehammer_lambdas/fta/fta0360.pfho.p,8265482,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.076,298.617,442988,--,UNK-Non,Non,UNK,,
469182670,Sledgehammer_lambdas/fta/fta0361.pfho.p,8265600,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.171445,0.334656,119288,Theorem,THM-Prf,Prf,THM,,
469182157,Sledgehammer_lambdas/fta/fta0362.pfho.p,8265429,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.077,298.615,749376,--,UNK-Non,Non,UNK,,
469182490,Sledgehammer_lambdas/fta/fta0363.pfho.p,8265540,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,1.72778,1.95796,203204,Theorem,THM-Prf,Prf,THM,,
469181968,Sledgehammer_lambdas/fta/fta0364.pfho.p,8265366,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.167971,0.347471,119288,Theorem,THM-Prf,Prf,THM,,
469182994,Sledgehammer_lambdas/fta/fta0365.pfho.p,8265708,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,3.31659,3.53947,213948,Theorem,THM-Prf,Prf,THM,,
469181809,Sledgehammer_lambdas/fta/fta0366.pfho.p,8265313,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.21346,0.4347,119288,Theorem,THM-Prf,Prf,THM,,
469182865,Sledgehammer_lambdas/fta/fta0367.pfho.p,8265665,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.335879,0.56942,119288,Theorem,THM-Prf,Prf,THM,,
469182964,Sledgehammer_lambdas/fta/fta0368.pfho.p,8265698,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.04,298.608,829192,--,UNK-Non,Non,UNK,,
469181995,Sledgehammer_lambdas/fta/fta0369.pfho.p,8265375,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.123,298.618,659188,--,UNK-Non,Non,UNK,,
469181833,Sledgehammer_lambdas/fta/fta0370.pfho.p,8265321,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,1.6729,1.82554,193476,Theorem,THM-Prf,Prf,THM,,
469182808,Sledgehammer_lambdas/fta/fta0371.pfho.p,8265646,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.382179,0.625293,119288,Theorem,THM-Prf,Prf,THM,,
469182022,Sledgehammer_lambdas/fta/fta0372.pfho.p,8265384,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.02,298.553,739412,--,UNK-Non,Non,UNK,,
469182979,Sledgehammer_lambdas/fta/fta0373.pfho.p,8265703,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.147,298.623,752204,--,UNK-Non,Non,UNK,,
469182142,Sledgehammer_lambdas/fta/fta0374.pfho.p,8265424,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.05,298.616,748624,--,UNK-Non,Non,UNK,,
469182544,Sledgehammer_lambdas/fta/fta0375.pfho.p,8265558,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.05,298.618,788252,--,UNK-Non,Non,UNK,,
469182256,Sledgehammer_lambdas/fta/fta0376.pfho.p,8265462,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.108,298.695,1200580,--,UNK-Non,Non,UNK,,
469182691,Sledgehammer_lambdas/fta/fta0377.pfho.p,8265607,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.03,298.523,673776,--,UNK-Non,Non,UNK,,
